Lap,Event
36,Jamar Henry overtook Damien Quibuyen for P5
37,Ananda Chohan overtook Al Fabet for P10
37,Berend Boer overtook Damien Quibuyen for P4
37,Niamh Murphy overtook Eli Huertez for P1
38,Eli Huertez pits: Medium -> Soft
39,Ananda Chohan overtook Al Fabet for P9
40,Niamh Murphy pits: Soft -> Medium
41,Niamh Murphy overtook Eli Huertez for P10
41,Ananda Chohan overtook Al Fabet for P8
41,Franc Abel overtook Berend Boer for P1
42,Franc Abel pits: Medium -> Soft
42,Niamh Murphy overtook Eli Huertez for P9
42,Liesje Roser overtook Ananda Chohan for P6
44,Liesje Roser pits: Hard -> Soft
44,Niamh Murphy overtook Ananda Chohan for P6
45,Damien Quibuyen pits: Medium -> Soft
45,Al Fabet pits: Medium -> Soft
46,Eli Huertez overtook Ananda Chohan for P6
48,Al Fabet overtook Aleksa Kozlov for P11
49,Liesje Roser overtook Aleksa Kozlov for P12
49,Franc Abel overtook Ananda Chohan for P7
49,Niamh Murphy overtook Eli Huertez for P5
49,Sydney Aspen overtook Kanno Sora for P3
50,Niamh Murphy overtook Eli Huertez for P5
50,Sydney Aspen overtook Kanno Sora for P3
51,Liesje Roser overtook Al Fabet for P10
51,Kanno Sora overtook Niamh Murphy for P4
51,Niamh Murphy overtook Sydney Aspen for P3
52,Niamh Murphy overtook Kanno Sora for P4
55,Eli Huertez overtook Niamh Murphy for P4
56,Al Fabet overtook Liesje Roser for P10
56,Niamh Murphy overtook Sydney Aspen for P4
56,Eli Huertez overtook Jamar Henry for P2
57,Eli Huertez overtook Jamar Henry for P2
58,Jamar Henry overtook Eli Huertez for P2
59,Kanno Sora overtook Franc Abel for P6
59,Eli Huertez overtook Sydney Aspen for P4
