Lap,Event
36,Niamh Murphy overtook Marek Madeira for P12
36,Kanno Sora overtook Al Fabet for P7
36,Fidan Basak overtook Ananda Chohan for P5
37,Al Fabet overtook Kanno Sora for P7
37,Fidan Basak overtook Damien Quibuyen for P5
38,Al Fabet pits: Medium -> Hard
38,Eli Huertez pits: Medium -> Soft
38,Aida Haque overtook Marek Madeira for P11
38,Damien Quibuyen overtook Kanno Sora for P5
39,Clara Longo overtook Al Fabet for P13
39,Damien Quibuyen overtook Ananda Chohan for P4
40,Fidan Basak overtook Damien Quibuyen for P5
40,Mark Graham overtook Ye Li for P2
42,Liesje Roser overtook Sydney Aspen for P8
42,Ananda Chohan overtook Fidan Basak for P4
43,Liesje Roser pits: Hard -> Medium
43,Al Fabet overtook Eli Huertez for P12
44,Ye Li pits: Soft -> Medium
44,Marek Madeira pits: Hard -> Medium
44,Eli Huertez overtook Al Fabet for P11
44,Kanno Sora overtook Damien Quibuyen for P5
45,Fidan Basak overtook Ananda Chohan for P3
46,Eli Huertez overtook Aida Haque for P10
47,Al Fabet overtook Aida Haque for P11
47,Aida Haque overtook Eli Huertez for P10
48,Al Fabet overtook Aida Haque for P12
49,Aida Haque overtook Clara Longo for P12
50,Clara Longo overtook Al Fabet for P11
50,Niamh Murphy overtook Ye Li for P8
51,Ananda Chohan pits: Medium -> Soft
53,Liesje Roser overtook Aida Haque for P12
54,Franc Abel pits: Hard -> Soft
54,Clara Longo pits: Medium -> Soft
54,Aida Haque pits: Hard -> Soft
54,Franc Abel overtook Ye Li for P7
54,Ye Li overtook Niamh Murphy for P6
55,Ye Li retired
55,Ananda Chohan overtook Liesje Roser for P10
56,Sydney Aspen pits: Hard -> Soft
56,Liesje Roser overtook Ananda Chohan for P9
56,Kanno Sora overtook Fidan Basak for P2
57,Fidan Basak overtook Kanno Sora for P2
58,Niamh Murphy overtook Franc Abel for P5
59,Clara Longo overtook Aida Haque for P13
60,Clara Longo overtook Aida Haque for P13
60,Al Fabet overtook Eli Huertez for P8
62,Sydney Aspen retired
62,Aida Haque overtook Clara Longo for P12
64,Franc Abel overtook Fidan Basak for P3
66,Aida Haque overtook Marek Madeira for P10
66,Ananda Chohan overtook Niamh Murphy for P6
67,Clara Longo overtook Marek Madeira for P11
67,Marek Madeira overtook Aida Haque for P10
67,Niamh Murphy overtook Ananda Chohan for P6
68,Niamh Murphy overtook Kanno Sora for P5
69,Aleksa Kozlov overtook Eli Huertez for P13
69,Niamh Murphy overtook Fidan Basak for P4
71,Kanno Sora overtook Ananda Chohan for P6
71,Ananda Chohan overtook Fidan Basak for P5
