Lap,Event
17,Ye Li overtook Sydney Aspen for P1
18,Sydney Aspen pits: Soft -> Medium
18,Berend Boer pits: Soft -> Medium
18,Aleksa Kozlov pits: Soft -> Medium
18,Aida Haque pits: Soft -> Medium
18,Aida Haque overtook Monica Niculescu for P17
18,Berend Boer overtook Sydney Aspen for P13
19,Ye Li pits: Soft -> Medium
19,Damien Quibuyen pits: Soft -> Medium
19,Aleksa Kozlov overtook Aida Haque for P15
19,Sydney Aspen overtook Ye Li for P11
19,Thorleif Valtyrsdotter overtook Jamar Henry for P9
19,Eli Huertez overtook Al Fabet for P6
20,Ye Li overtook Thorleif Valtyrsdotter for P9
20,Niamh Murphy overtook Franc Abel for P3
21,Sydney Aspen overtook Jamar Henry for P11
21,Jamar Henry overtook Thorleif Valtyrsdotter for P10
21,Eli Huertez overtook Liesje Roser for P6
22,Sydney Aspen overtook Jamar Henry for P10
22,Kanno Sora overtook Ye Li for P8
22,Al Fabet overtook Liesje Roser for P6
22,Niamh Murphy overtook Franc Abel for P3
23,Ananda Chohan pits: Medium -> Hard
23,Monica Niculescu overtook Aida Haque for P14
23,Thorleif Valtyrsdotter overtook Berend Boer for P12
23,Al Fabet overtook Liesje Roser for P5
23,Liesje Roser overtook Eli Huertez for P4
24,Mark Graham pits: Medium -> Hard
24,Liesje Roser pits: Medium -> Hard
24,Thorleif Valtyrsdotter pits: Medium -> Hard
24,Liesje Roser overtook Fidan Basak for P17
24,Erwin Kramer overtook Damien Quibuyen for P14
24,Aleksa Kozlov overtook Berend Boer for P9
25,Franc Abel pits: Medium -> Hard
25,Niamh Murphy pits: Medium -> Hard
25,Niamh Murphy overtook Liesje Roser for P17
25,Aida Haque overtook Monica Niculescu for P9
25,Monica Niculescu overtook Aleksa Kozlov for P8
26,Ananda Chohan overtook Erwin Kramer for P13
26,Damien Quibuyen overtook Aida Haque for P11
26,Sydney Aspen overtook Jamar Henry for P4
26,Al Fabet overtook Eli Huertez for P1
27,Fidan Basak overtook Franc Abel for P15
27,Mark Graham overtook Berend Boer for P9
27,Damien Quibuyen overtook Aleksa Kozlov for P7
27,Jamar Henry overtook Ye Li for P3
28,Franc Abel overtook Erwin Kramer for P15
29,Franc Abel overtook Erwin Kramer for P15
29,Damien Quibuyen overtook Aleksa Kozlov for P8
29,Sydney Aspen overtook Eli Huertez for P1
30,Ye Li overtook Jamar Henry for P4
30,Jamar Henry overtook Al Fabet for P4
31,Aida Haque overtook Monica Niculescu for P11
31,Jamar Henry overtook Kanno Sora for P4
32,Jamar Henry overtook Al Fabet for P3
32,Ye Li overtook Sydney Aspen for P1
33,Kanno Sora pits: Hard -> Soft
33,Liesje Roser overtook Niamh Murphy for P16
33,Aida Haque overtook Monica Niculescu for P10
33,Mark Graham overtook Aleksa Kozlov for P7
34,Eli Huertez pits: Hard -> Soft
34,Eli Huertez overtook Kanno Sora for P17
34,Mark Graham overtook Berend Boer for P7
34,Berend Boer overtook Aleksa Kozlov for P6
34,Ye Li overtook Sydney Aspen for P1
35,Al Fabet pits: Hard -> Soft
35,Erwin Kramer pits: Hard -> Soft
36,Niamh Murphy overtook Fidan Basak for P13
36,Fidan Basak overtook Liesje Roser for P12
36,Ananda Chohan overtook Franc Abel for P10
36,Mark Graham overtook Berend Boer for P6
37,Erwin Kramer overtook Thorleif Valtyrsdotter for P18
37,Franc Abel overtook Ananda Chohan for P10
37,Monica Niculescu overtook Berend Boer for P7
37,Ye Li overtook Sydney Aspen for P1
38,Jamar Henry pits: Medium -> Soft
38,Monica Niculescu pits: Medium -> Soft
38,Fidan Basak pits: Medium -> Soft
38,Kanno Sora overtook Niamh Murphy for P12
39,Sydney Aspen pits: Medium -> Soft
39,Aleksa Kozlov pits: Medium -> Soft
39,Berend Boer pits: Medium -> Soft
39,Aida Haque pits: Medium -> Soft
39,Fidan Basak overtook Thorleif Valtyrsdotter for P18
39,Monica Niculescu overtook Aleksa Kozlov for P13
40,Ye Li pits: Medium -> Soft
40,Damien Quibuyen pits: Medium -> Soft
40,Thorleif Valtyrsdotter overtook Fidan Basak for P18
40,Niamh Murphy overtook Jamar Henry for P10
40,Kanno Sora overtook Liesje Roser for P7
40,Liesje Roser overtook Eli Huertez for P6
41,Sydney Aspen sets the fastest lap: 1:22.184
41,Liesje Roser overtook Al Fabet for P9
41,Al Fabet overtook Kanno Sora for P8
41,Eli Huertez overtook Jamar Henry for P6
41,Ananda Chohan overtook Sydney Aspen for P3
42,Berend Boer overtook Monica Niculescu for P14
42,Niamh Murphy overtook Damien Quibuyen for P12
42,Damien Quibuyen overtook Aleksa Kozlov for P11
42,Jamar Henry overtook Al Fabet for P7
42,Franc Abel overtook Sydney Aspen for P2
43,Monica Niculescu overtook Niamh Murphy for P13
43,Niamh Murphy overtook Damien Quibuyen for P12
43,Damien Quibuyen overtook Aleksa Kozlov for P11
43,Aleksa Kozlov overtook Liesje Roser for P10
43,Jamar Henry overtook Al Fabet for P6
43,Al Fabet overtook Kanno Sora for P5
44,Liesje Roser overtook Aleksa Kozlov for P11
44,Aleksa Kozlov overtook Damien Quibuyen for P10
44,Kanno Sora overtook Ananda Chohan for P3
45,Eli Huertez overtook Damien Quibuyen for P10
45,Franc Abel overtook Ananda Chohan for P6
45,Ananda Chohan overtook Jamar Henry for P5
46,Aida Haque overtook Erwin Kramer for P16
46,Niamh Murphy overtook Berend Boer for P14
46,Damien Quibuyen overtook Eli Huertez for P9
46,Ye Li overtook Ananda Chohan for P7
46,Franc Abel overtook Jamar Henry for P5
46,Al Fabet overtook Kanno Sora for P3
47,Damien Quibuyen overtook Aleksa Kozlov for P9
47,Al Fabet overtook Sydney Aspen for P2
48,Eli Huertez overtook Ananda Chohan for P10
48,Franc Abel overtook Ye Li for P6
48,Jamar Henry overtook Sydney Aspen for P3
49,Liesje Roser overtook Ananda Chohan for P12
49,Jamar Henry overtook Al Fabet for P2
50,Ananda Chohan overtook Liesje Roser for P12
50,Franc Abel overtook Ye Li for P6
50,Al Fabet overtook Jamar Henry for P2
