Lap,Event
15,Niamh Murphy overtook Aleksa Kozlov for P13
15,Ananda Chohan overtook Mark Graham for P9
15,Mark Graham overtook Monica Niculescu for P8
16,Niamh Murphy overtook Liesje Roser for P14
16,Ananda Chohan overtook Aida Haque for P11
16,Monica Niculescu overtook Mark Graham for P8
16,Al Fabet overtook Fidan Basak for P6
16,Jamar Henry overtook Ye Li for P4
17,Jamar Henry pits: Soft -> Medium
17,Fidan Basak pits: Soft -> Medium
17,Monica Niculescu pits: Soft -> Medium
17,Ananda Chohan overtook Aida Haque for P8
18,Berend Boer pits: Soft -> Medium
18,Sydney Aspen pits: Soft -> Medium
18,Aida Haque pits: Soft -> Medium
18,Aleksa Kozlov pits: Soft -> Medium
18,Thorleif Valtyrsdotter overtook Nelson Ramsey for P10
18,Mark Graham overtook Al Fabet for P3
19,Damien Quibuyen pits: Soft -> Medium
19,Ye Li pits: Soft -> Medium
19,Damien Quibuyen overtook Monica Niculescu for P15
19,Monica Niculescu overtook Ye Li for P15
19,Jamar Henry overtook Sydney Aspen for P12
19,Thorleif Valtyrsdotter overtook Nelson Ramsey for P8
19,Niamh Murphy overtook Liesje Roser for P5
20,Ye Li overtook Monica Niculescu for P15
20,Monica Niculescu overtook Damien Quibuyen for P14
20,Liesje Roser overtook Niamh Murphy for P5
21,Fidan Basak overtook Aida Haque for P17
21,Monica Niculescu overtook Damien Quibuyen for P15
21,Damien Quibuyen overtook Jamar Henry for P14
21,Berend Boer overtook Eli Huertez for P7
22,Sydney Aspen overtook Jamar Henry for P12
22,Kanno Sora overtook Nelson Ramsey for P10
22,Berend Boer overtook Eli Huertez for P7
23,Ananda Chohan pits: Medium -> Hard
23,Aida Haque overtook Fidan Basak for P16
23,Nelson Ramsey overtook Thorleif Valtyrsdotter for P9
24,Mark Graham pits: Medium -> Hard
24,Liesje Roser pits: Medium -> Hard
24,Thorleif Valtyrsdotter pits: Medium -> Hard
25,Franc Abel pits: Medium -> Hard
25,Niamh Murphy pits: Medium -> Hard
25,Ananda Chohan overtook Liesje Roser for P16
25,Franc Abel overtook Aleksa Kozlov for P14
25,Ye Li overtook Sydney Aspen for P7
25,Jamar Henry overtook Eli Huertez for P5
26,Liesje Roser overtook Ananda Chohan for P16
26,Fidan Basak overtook Aleksa Kozlov for P13
26,Mark Graham overtook Aida Haque for P11
26,Sydney Aspen overtook Ye Li for P7
26,Eli Huertez overtook Jamar Henry for P5
26,Jamar Henry overtook Kanno Sora for P4
26,Kanno Sora overtook Nelson Ramsey for P3
27,Ananda Chohan overtook Liesje Roser for P16
27,Fidan Basak overtook Aleksa Kozlov for P13
27,Jamar Henry overtook Eli Huertez for P4
28,Niamh Murphy overtook Ananda Chohan for P16
28,Ye Li overtook Eli Huertez for P5
29,Aida Haque overtook Franc Abel for P12
29,Kanno Sora overtook Damien Quibuyen for P8
29,Nelson Ramsey overtook Ye Li for P4
30,Liesje Roser overtook Niamh Murphy for P17
30,Sydney Aspen overtook Nelson Ramsey for P4
31,Niamh Murphy overtook Ananda Chohan for P16
31,Aida Haque overtook Fidan Basak for P14
31,Aleksa Kozlov overtook Mark Graham for P11
32,Fidan Basak overtook Franc Abel for P13
32,Franc Abel overtook Aleksa Kozlov for P12
32,Sydney Aspen overtook Damien Quibuyen for P6
33,Kanno Sora pits: Hard -> Soft
33,Niamh Murphy overtook Liesje Roser for P16
33,Franc Abel overtook Fidan Basak for P12
33,Fidan Basak overtook Aleksa Kozlov for P11
33,Monica Niculescu overtook Nelson Ramsey for P8
33,Jamar Henry overtook Ye Li for P3
33,Ye Li overtook Berend Boer for P2
34,Eli Huertez pits: Hard -> Soft
34,Nelson Ramsey pits: Hard -> Soft
34,Thorleif Valtyrsdotter overtook Nelson Ramsey for P18
34,Niamh Murphy overtook Ananda Chohan for P13
34,Mark Graham overtook Fidan Basak for P9
34,Ye Li overtook Berend Boer for P2
35,Al Fabet pits: Hard -> Soft
35,Eli Huertez overtook Kanno Sora for P16
35,Aleksa Kozlov overtook Mark Graham for P7
35,Monica Niculescu overtook Damien Quibuyen for P5
36,Franc Abel overtook Fidan Basak for P10
36,Aleksa Kozlov overtook Al Fabet for P8
36,Jamar Henry overtook Berend Boer for P2
37,Franc Abel overtook Fidan Basak for P10
37,Mark Graham overtook Al Fabet for P7
38,Jamar Henry pits: Medium -> Soft
38,Monica Niculescu pits: Medium -> Soft
38,Fidan Basak pits: Medium -> Soft
38,Kanno Sora overtook Monica Niculescu for P15
38,Monica Niculescu overtook Eli Huertez for P14
39,Berend Boer pits: Medium -> Soft
39,Sydney Aspen pits: Medium -> Soft
39,Aleksa Kozlov pits: Medium -> Soft
39,Aida Haque pits: Medium -> Soft
39,Thorleif Valtyrsdotter overtook Aleksa Kozlov for P16
39,Sydney Aspen overtook Monica Niculescu for P12
39,Liesje Roser overtook Berend Boer for P10
39,Mark Graham overtook Al Fabet for P3
40,Ye Li pits: Medium -> Soft
40,Damien Quibuyen pits: Medium -> Soft
40,Berend Boer overtook Sydney Aspen for P10
40,Sydney Aspen overtook Monica Niculescu for P9
40,Niamh Murphy overtook Jamar Henry for P6
40,Ye Li overtook Ananda Chohan for P4
41,Thorleif Valtyrsdotter overtook Fidan Basak for P17
41,Liesje Roser overtook Kanno Sora for P12
41,Monica Niculescu overtook Eli Huertez for P8
42,Liesje Roser overtook Damien Quibuyen for P13
42,Monica Niculescu overtook Ananda Chohan for P7
42,Ananda Chohan overtook Niamh Murphy for P6
43,Thorleif Valtyrsdotter overtook Fidan Basak for P17
43,Berend Boer overtook Sydney Aspen for P9
43,Niamh Murphy overtook Monica Niculescu for P7
44,Ananda Chohan overtook Jamar Henry for P6
44,Al Fabet overtook Mark Graham for P1
45,Monica Niculescu retired
45,Eli Huertez overtook Sydney Aspen for P8
45,Sydney Aspen overtook Niamh Murphy for P7
45,Ananda Chohan overtook Franc Abel for P5
45,Franc Abel overtook Jamar Henry for P5
46,Fidan Basak overtook Aida Haque for P16
46,Berend Boer overtook Damien Quibuyen for P10
46,Damien Quibuyen overtook Niamh Murphy for P9
46,Eli Huertez overtook Sydney Aspen for P6
47,Kanno Sora overtook Niamh Murphy for P11
47,Damien Quibuyen overtook Berend Boer for P9
47,Sydney Aspen overtook Ananda Chohan for P7
47,Jamar Henry overtook Franc Abel for P4
48,Aida Haque overtook Fidan Basak for P16
48,Nelson Ramsey overtook Liesje Roser for P13
48,Ananda Chohan overtook Damien Quibuyen for P8
48,Damien Quibuyen overtook Sydney Aspen for P7
48,Sydney Aspen overtook Eli Huertez for P6
48,Jamar Henry overtook Franc Abel for P4
49,Fidan Basak overtook Aida Haque for P16
49,Ananda Chohan overtook Berend Boer for P9
49,Damien Quibuyen overtook Eli Huertez for P7
49,Eli Huertez overtook Sydney Aspen for P6
49,Sydney Aspen overtook Jamar Henry for P5
50,Berend Boer overtook Ananda Chohan for P9
50,Ananda Chohan overtook Damien Quibuyen for P8
