Lap,Event
30,Al Fabet overtook Liesje Roser for P8
30,Liesje Roser overtook Monica Niculescu for P7
30,Monica Niculescu overtook Ananda Chohan for P6
31,Al Fabet overtook Ye Li for P9
31,Fidan Basak overtook Liesje Roser for P5
32,Aida Haque overtook Clara Longo for P12
32,Ananda Chohan overtook Liesje Roser for P7
32,Liesje Roser overtook Monica Niculescu for P6
33,Eli Huertez retired
33,Aleksa Kozlov pits: Hard -> Medium
33,Al Fabet overtook Ye Li for P8
33,Monica Niculescu overtook Fidan Basak for P6
34,Clara Longo overtook Aida Haque for P10
34,Monica Niculescu overtook Ananda Chohan for P8
36,Fidan Basak overtook Ye Li for P7
37,Damien Quibuyen retired
37,Al Fabet overtook Ananda Chohan for P8
37,Liesje Roser overtook Ye Li for P4
38,Ananda Chohan overtook Fidan Basak for P8
38,Al Fabet overtook Liesje Roser for P5
38,Liesje Roser overtook Monica Niculescu for P4
38,Jamar Henry overtook Mark Graham for P1
39,Monica Niculescu overtook Ananda Chohan for P7
40,Niamh Murphy overtook Aida Haque for P10
40,Ananda Chohan overtook Monica Niculescu for P6
40,Al Fabet overtook Ye Li for P4
41,Niamh Murphy overtook Aida Haque for P10
41,Ye Li overtook Al Fabet for P4
42,Niamh Murphy overtook Aida Haque for P10
43,Fidan Basak overtook Monica Niculescu for P7
43,Al Fabet overtook Ye Li for P4
43,Jamar Henry overtook Franc Abel for P2
44,Niamh Murphy overtook Aida Haque for P10
