Lap,Position,Last Lap Position,Diff,Driver,Team,Tyre,Lap Time,Fastest Lap,Status
3,20,19,-1,Erwin Kramer,OHSN Racing,Hard,1:25.168,,Running
4,1,2,1,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.993,,Running
4,2,4,2,Berend Boer,Orange Wheel Racing,Soft,1:23.345,,Running
4,3,1,-2,Sydney Aspen,Villiuride Racing,Soft,1:25.424,,Running
4,4,5,1,Jamar Henry,Trike Motorsports,Soft,1:23.317,,Running
4,5,3,-2,Mark Graham,Trike Motorsports,Medium,1:25.084,,Running
4,6,6,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:25.117,,Running
4,7,7,0,Ye Li,Racing Life,Soft,1:24.906,,Running
4,8,11,3,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.472,,Running
4,9,8,-1,Aleksa Kozlov,LFL Engineering,Soft,1:25.018,,Running
4,10,10,0,Al Fabet,Villiuride Racing,Hard,1:24.183,,Running
4,11,9,-2,Franc Abel,Orange Wheel Racing,Medium,1:25.700,,Running
4,12,13,1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.577,,Running
4,13,17,4,Liesje Roser,Dacia Racing Team,Medium,1:23.480,,Running
4,14,12,-2,Monica Niculescu,Dacia Racing Team,Soft,1:25.566,,Running
4,15,16,1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:24.206,,Running
4,16,14,-2,Kanno Sora,LFL Engineering,Hard,1:26.103,,Running
4,17,15,-2,Niamh Murphy,Racing Life,Medium,1:25.937,,Running
4,18,18,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.998,,Running
4,19,20,1,Erwin Kramer,OHSN Racing,Hard,1:24.496,,Running
4,20,19,-1,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:25.912,,Running
5,1,1,0,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.600,,Running
5,2,3,1,Sydney Aspen,Villiuride Racing,Soft,1:24.903,,Running
5,3,4,1,Jamar Henry,Trike Motorsports,Soft,1:25.256,,Running
5,4,2,-2,Berend Boer,Orange Wheel Racing,Soft,1:25.273,,Running
5,5,7,2,Ye Li,Racing Life,Soft,1:23.804,,Running
5,6,8,2,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.367,,Running
5,7,6,-1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.469,,Running
5,8,9,1,Aleksa Kozlov,LFL Engineering,Soft,1:23.813,,Running
5,9,12,3,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:23.687,,Running
5,10,5,-5,Mark Graham,Trike Motorsports,Medium,1:25.827,,Running
5,11,14,3,Monica Niculescu,Dacia Racing Team,Soft,1:23.511,,Running
5,12,11,-1,Franc Abel,Orange Wheel Racing,Medium,1:25.610,,Running
5,13,10,-3,Al Fabet,Villiuride Racing,Hard,1:25.786,,Running
5,14,13,-1,Liesje Roser,Dacia Racing Team,Medium,1:25.571,,Running
5,15,15,0,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.147,,Running
5,16,18,2,Eli Huertez,Pulang Kabayo Racing,Hard,1:23.858,,Running
5,17,16,-1,Kanno Sora,LFL Engineering,Hard,1:24.735,,Running
5,18,17,-1,Niamh Murphy,Racing Life,Medium,1:25.010,,Running
5,19,20,1,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:24.924,,Running
5,20,19,-1,Erwin Kramer,OHSN Racing,Hard,1:26.155,,Running
6,1,4,3,Berend Boer,Orange Wheel Racing,Soft,1:22.663,,Running
6,2,1,-1,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.286,,Running
6,3,7,4,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:22.929,,Running
6,4,2,-2,Sydney Aspen,Villiuride Racing,Soft,1:23.822,,Running
6,5,5,0,Ye Li,Racing Life,Soft,1:24.228,,Running
6,6,6,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.628,,Running
6,7,3,-4,Jamar Henry,Trike Motorsports,Soft,1:24.518,,Running
6,8,9,1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.429,,Running
6,9,8,-1,Aleksa Kozlov,LFL Engineering,Soft,1:24.888,,Running
6,10,10,0,Mark Graham,Trike Motorsports,Medium,1:24.429,,Running
6,11,11,0,Monica Niculescu,Dacia Racing Team,Soft,1:23.562,,Running
6,12,13,1,Al Fabet,Villiuride Racing,Hard,1:23.626,,Running
6,13,12,-1,Franc Abel,Orange Wheel Racing,Medium,1:24.117,,Running
6,14,17,3,Kanno Sora,LFL Engineering,Hard,1:24.416,,Running
6,15,15,0,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:26.254,,Running
6,16,16,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.628,,Running
6,17,14,-3,Liesje Roser,Dacia Racing Team,Medium,1:25.917,,Running
6,18,18,0,Niamh Murphy,Racing Life,Medium,1:25.479,,Running
6,19,19,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:25.247,,Running
6,20,20,0,Erwin Kramer,OHSN Racing,Hard,1:24.380,,Running
7,1,1,0,Berend Boer,Orange Wheel Racing,Soft,1:23.935,,Running
7,2,4,2,Sydney Aspen,Villiuride Racing,Soft,1:23.120,,Running
7,3,2,-1,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.083,,Running
7,4,3,-1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.388,,Running
7,5,7,2,Jamar Henry,Trike Motorsports,Soft,1:22.644,,Running
7,6,6,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.686,,Running
7,7,5,-2,Ye Li,Racing Life,Soft,1:23.728,,Running
7,8,8,0,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.386,,Running
7,9,9,0,Aleksa Kozlov,LFL Engineering,Soft,1:24.066,,Running
7,10,10,0,Mark Graham,Trike Motorsports,Medium,1:24.166,,Running
7,11,13,2,Franc Abel,Orange Wheel Racing,Medium,1:24.030,,Running
7,12,11,-1,Monica Niculescu,Dacia Racing Team,Soft,1:25.172,,Running
7,13,12,-1,Al Fabet,Villiuride Racing,Hard,1:25.659,,Running
7,14,17,3,Liesje Roser,Dacia Racing Team,Medium,1:25.027,,Running
7,15,14,-1,Kanno Sora,LFL Engineering,Hard,1:24.957,,Running
7,16,15,-1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.991,,Running
7,17,16,-1,Eli Huertez,Pulang Kabayo Racing,Hard,1:26.079,,Running
7,18,18,0,Niamh Murphy,Racing Life,Medium,1:25.981,,Running
7,19,19,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:24.480,,Running
7,20,20,0,Erwin Kramer,OHSN Racing,Hard,1:25.398,,Running
8,1,1,0,Berend Boer,Orange Wheel Racing,Soft,1:24.499,,Running
8,2,4,2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.206,,Running
8,3,3,0,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.503,,Running
8,4,2,-2,Sydney Aspen,Villiuride Racing,Soft,1:25.139,,Running
8,5,5,0,Jamar Henry,Trike Motorsports,Soft,1:24.394,,Running
8,6,6,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.109,,Running
8,7,7,0,Ye Li,Racing Life,Soft,1:24.188,,Running
8,8,10,2,Mark Graham,Trike Motorsports,Medium,1:23.862,,Running
8,9,12,3,Monica Niculescu,Dacia Racing Team,Soft,1:23.258,,Running
8,10,8,-2,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.204,,Running
8,11,9,-2,Aleksa Kozlov,LFL Engineering,Soft,1:25.239,,Running
8,12,11,-1,Franc Abel,Orange Wheel Racing,Medium,1:24.938,,Running
8,13,13,0,Al Fabet,Villiuride Racing,Hard,1:25.635,,Running
8,14,14,0,Liesje Roser,Dacia Racing Team,Medium,1:25.215,,Running
8,15,16,1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:24.669,,Running
8,16,15,-1,Kanno Sora,LFL Engineering,Hard,1:25.369,,Running
8,17,20,3,Erwin Kramer,OHSN Racing,Hard,1:24.453,,Running
8,18,17,-1,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.048,,Running
8,19,19,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:25.675,,Running
8,20,18,-2,Niamh Murphy,Racing Life,Medium,1:25.726,,Running
9,1,2,1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.118,,Running
9,2,5,3,Jamar Henry,Trike Motorsports,Soft,1:22.852,,Running
9,3,3,0,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.942,,Running
9,4,1,-3,Berend Boer,Orange Wheel Racing,Soft,1:24.055,,Running
9,5,4,-1,Sydney Aspen,Villiuride Racing,Soft,1:23.625,,Running
9,6,7,1,Ye Li,Racing Life,Soft,1:23.088,,Running
9,7,6,-1,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.885,,Running
9,8,11,3,Aleksa Kozlov,LFL Engineering,Soft,1:23.234,,Running
9,9,8,-1,Mark Graham,Trike Motorsports,Medium,1:23.895,,Running
9,10,10,0,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:23.940,,Running
9,11,9,-2,Monica Niculescu,Dacia Racing Team,Soft,1:24.370,,Running
9,12,12,0,Franc Abel,Orange Wheel Racing,Medium,1:25.716,,Running
9,13,13,0,Al Fabet,Villiuride Racing,Hard,1:25.030,,Running
9,14,16,2,Kanno Sora,LFL Engineering,Hard,1:24.692,,Running
9,15,14,-1,Liesje Roser,Dacia Racing Team,Medium,1:24.913,,Running
9,16,15,-1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:26.058,,Running
9,17,18,1,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.206,,Running
9,18,17,-1,Erwin Kramer,OHSN Racing,Hard,1:25.728,,Running
9,19,19,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:24.718,,Running
9,20,20,0,Niamh Murphy,Racing Life,Medium,1:24.950,,Running
10,1,1,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.243,,Running
10,2,5,3,Sydney Aspen,Villiuride Racing,Soft,1:23.707,,Running
10,3,7,4,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.493,,Running
10,4,2,-2,Jamar Henry,Trike Motorsports,Soft,1:25.216,,Running
10,5,3,-2,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.890,,Running
10,6,4,-2,Berend Boer,Orange Wheel Racing,Soft,1:24.915,,Running
10,7,6,-1,Ye Li,Racing Life,Soft,1:25.074,,Running
10,8,11,3,Monica Niculescu,Dacia Racing Team,Soft,1:23.327,,Running
10,9,9,0,Mark Graham,Trike Motorsports,Medium,1:25.156,,Running
10,10,8,-2,Aleksa Kozlov,LFL Engineering,Soft,1:25.734,,Running
10,11,10,-1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.481,,Running
10,12,12,0,Franc Abel,Orange Wheel Racing,Medium,1:23.938,,Running
10,13,13,0,Al Fabet,Villiuride Racing,Hard,1:23.277,,Running
10,14,14,0,Kanno Sora,LFL Engineering,Hard,1:24.600,,Running
10,15,15,0,Liesje Roser,Dacia Racing Team,Medium,1:25.830,,Running
10,16,20,4,Niamh Murphy,Racing Life,Medium,1:24.057,,Running
10,17,16,-1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:24.972,,Running
10,18,18,0,Erwin Kramer,OHSN Racing,Hard,1:25.138,,Running
10,19,17,-2,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.661,,Running
10,20,19,-1,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:25.486,,Running
11,1,5,4,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.724,,Running
11,2,1,-1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.118,,Running
11,3,4,1,Jamar Henry,Trike Motorsports,Soft,1:24.031,,Running
11,4,2,-2,Sydney Aspen,Villiuride Racing,Soft,1:25.117,,Running
11,5,7,2,Ye Li,Racing Life,Soft,1:23.415,,Running
11,6,3,-3,Fidan Basak,Pulang Kabayo Racing,Soft,1:25.481,,Running
11,7,6,-1,Berend Boer,Orange Wheel Racing,Soft,1:24.704,,Running
11,8,9,1,Mark Graham,Trike Motorsports,Medium,1:23.932,,Running
11,9,10,1,Aleksa Kozlov,LFL Engineering,Soft,1:24.162,,Running
11,10,8,-2,Monica Niculescu,Dacia Racing Team,Soft,1:24.979,,Running
11,11,11,0,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.964,,Running
11,12,12,0,Franc Abel,Orange Wheel Racing,Medium,1:25.680,,Running
11,13,13,0,Al Fabet,Villiuride Racing,Hard,1:24.045,,Running
11,14,15,1,Liesje Roser,Dacia Racing Team,Medium,1:24.552,,Running
11,15,14,-1,Kanno Sora,LFL Engineering,Hard,1:25.841,,Running
11,16,16,0,Niamh Murphy,Racing Life,Medium,1:25.195,,Running
11,17,17,0,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.006,,Running
11,18,18,0,Erwin Kramer,OHSN Racing,Hard,1:25.013,,Running
11,19,19,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:26.141,,Running
11,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:24.535,,Running
12,1,4,3,Sydney Aspen,Villiuride Racing,Soft,1:23.482,,Running
12,2,1,-1,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.374,,Running
12,3,2,-1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.856,,Running
12,4,3,-1,Jamar Henry,Trike Motorsports,Soft,1:24.181,,Running
12,5,6,1,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.756,,Running
12,6,5,-1,Ye Li,Racing Life,Soft,1:24.337,,Running
12,7,7,0,Berend Boer,Orange Wheel Racing,Soft,1:25.421,,Running
12,8,9,1,Aleksa Kozlov,LFL Engineering,Soft,1:25.590,,Running
12,9,8,-1,Mark Graham,Trike Motorsports,Medium,1:25.040,,Running
12,10,11,1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.566,,Running
12,11,10,-1,Monica Niculescu,Dacia Racing Team,Soft,1:25.715,,Running
12,12,13,1,Al Fabet,Villiuride Racing,Hard,1:24.392,,Running
12,13,12,-1,Franc Abel,Orange Wheel Racing,Medium,1:23.516,,Running
12,14,16,2,Niamh Murphy,Racing Life,Medium,1:23.970,,Running
12,15,15,0,Kanno Sora,LFL Engineering,Hard,1:26.030,,Running
12,16,17,1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:24.112,,Running
12,17,19,2,Eli Huertez,Pulang Kabayo Racing,Hard,1:23.927,,Running
12,18,14,-4,Liesje Roser,Dacia Racing Team,Medium,1:26.199,,Running
12,19,18,-1,Erwin Kramer,OHSN Racing,Hard,1:24.619,,Running
12,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.285,,Running
13,1,2,1,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.338,,Running
13,2,4,2,Jamar Henry,Trike Motorsports,Soft,1:23.134,,Running
13,3,1,-2,Sydney Aspen,Villiuride Racing,Soft,1:23.857,,Running
13,4,3,-1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.923,,Running
13,5,6,1,Ye Li,Racing Life,Soft,1:23.852,,Running
13,6,5,-1,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.768,,Running
13,7,7,0,Berend Boer,Orange Wheel Racing,Soft,1:23.720,,Running
13,8,10,2,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:23.075,,Running
13,9,8,-1,Aleksa Kozlov,LFL Engineering,Soft,1:23.346,,Running
13,10,9,-1,Mark Graham,Trike Motorsports,Medium,1:24.785,,Running
13,11,11,0,Monica Niculescu,Dacia Racing Team,Soft,1:25.130,,Running
13,12,13,1,Franc Abel,Orange Wheel Racing,Medium,1:24.039,,Running
13,13,12,-1,Al Fabet,Villiuride Racing,Hard,1:24.490,,Running
13,14,15,1,Kanno Sora,LFL Engineering,Hard,1:24.820,,Running
13,15,14,-1,Niamh Murphy,Racing Life,Medium,1:24.426,,Running
13,16,16,0,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.477,,Running
13,17,19,2,Erwin Kramer,OHSN Racing,Hard,1:25.160,,Running
13,18,18,0,Liesje Roser,Dacia Racing Team,Medium,1:25.527,,Running
13,19,17,-2,Eli Huertez,Pulang Kabayo Racing,Hard,1:26.870,,Running
13,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:26.270,,Running
14,1,2,1,Jamar Henry,Trike Motorsports,Soft,1:24.939,,Running
14,2,1,-1,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.919,,Running
14,3,3,0,Sydney Aspen,Villiuride Racing,Soft,1:24.842,,Running
14,4,5,1,Ye Li,Racing Life,Soft,1:24.610,,Running
14,5,7,2,Berend Boer,Orange Wheel Racing,Soft,1:23.313,,Running
14,6,6,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.459,,Running
14,7,4,-3,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:25.040,,Running
14,8,8,0,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.605,,Running
14,9,9,0,Aleksa Kozlov,LFL Engineering,Soft,1:24.785,,Running
14,10,10,0,Mark Graham,Trike Motorsports,Medium,1:24.164,,Running
14,11,11,0,Monica Niculescu,Dacia Racing Team,Soft,1:24.821,,Running
14,12,12,0,Franc Abel,Orange Wheel Racing,Medium,1:25.977,,Running
14,13,13,0,Al Fabet,Villiuride Racing,Hard,1:24.688,,Running
14,14,15,1,Niamh Murphy,Racing Life,Medium,1:24.562,,Running
14,15,16,1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.280,,Running
14,16,14,-2,Kanno Sora,LFL Engineering,Hard,1:26.283,,Running
14,17,17,0,Erwin Kramer,OHSN Racing,Hard,1:24.190,,Running
14,18,19,1,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.517,,Running
14,19,18,-1,Liesje Roser,Dacia Racing Team,Medium,1:25.968,,Running
14,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:24.226,,Running
15,1,1,0,Jamar Henry,Trike Motorsports,Soft,1:23.204,,Running
15,2,3,1,Sydney Aspen,Villiuride Racing,Soft,1:24.425,,Running
15,3,2,-1,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.135,,Running
15,4,7,3,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.848,,Running
15,5,5,0,Berend Boer,Orange Wheel Racing,Soft,1:25.580,,Running
15,6,4,-2,Ye Li,Racing Life,Soft,1:25.297,,Running
15,7,6,-1,Fidan Basak,Pulang Kabayo Racing,Soft,1:25.965,,Running
15,8,10,2,Mark Graham,Trike Motorsports,Medium,1:23.944,,Running
15,9,8,-1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.675,,Running
15,10,9,-1,Aleksa Kozlov,LFL Engineering,Soft,1:25.538,,Running
15,11,11,0,Monica Niculescu,Dacia Racing Team,Soft,1:23.569,,Running
15,12,13,1,Al Fabet,Villiuride Racing,Hard,1:24.630,,Running
15,13,12,-1,Franc Abel,Orange Wheel Racing,Medium,1:25.596,,Running
15,14,14,0,Niamh Murphy,Racing Life,Medium,1:24.351,,Running
15,15,16,1,Kanno Sora,LFL Engineering,Hard,1:23.939,,Running
15,16,17,1,Erwin Kramer,OHSN Racing,Hard,1:24.241,,Running
15,17,19,2,Liesje Roser,Dacia Racing Team,Medium,1:24.165,,Running
15,18,18,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.546,,Running
15,19,15,-4,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:26.952,,Running
15,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:23.944,,Running
16,1,3,2,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.597,,Running
16,2,1,-1,Jamar Henry,Trike Motorsports,Soft,1:25.893,,Running
16,3,2,-1,Sydney Aspen,Villiuride Racing,Soft,1:25.808,,Running
16,4,4,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:25.041,,Running
16,5,5,0,Berend Boer,Orange Wheel Racing,Soft,1:25.013,,Running
16,6,7,1,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.579,,Running
16,7,6,-1,Ye Li,Racing Life,Soft,1:26.391,,Running
16,8,10,2,Aleksa Kozlov,LFL Engineering,Soft,1:24.112,,Running
16,9,8,-1,Mark Graham,Trike Motorsports,Medium,1:25.325,,Running
16,10,9,-1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.426,,Running
16,11,11,0,Monica Niculescu,Dacia Racing Team,Soft,1:24.903,,Running
16,12,12,0,Al Fabet,Villiuride Racing,Hard,1:24.555,,Running
16,13,13,0,Franc Abel,Orange Wheel Racing,Medium,1:25.337,,Running
16,14,14,0,Niamh Murphy,Racing Life,Medium,1:24.944,,Running
16,15,15,0,Kanno Sora,LFL Engineering,Hard,1:25.048,,Running
16,16,16,0,Erwin Kramer,OHSN Racing,Hard,1:26.830,,Running
16,17,17,0,Liesje Roser,Dacia Racing Team,Medium,1:24.242,,Running
16,18,19,1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.057,,Running
16,19,20,1,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:24.789,,Running
16,20,18,-2,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.500,,Running
17,1,1,0,Aida Haque,Scuderia Ivanov Racing,Soft,1:25.309,,Running
17,2,3,1,Sydney Aspen,Villiuride Racing,Soft,1:25.166,,Running
17,3,4,1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:25.323,,Running
17,4,5,1,Berend Boer,Orange Wheel Racing,Soft,1:26.164,,Running
17,5,7,2,Ye Li,Racing Life,Soft,1:24.776,,Running
17,6,9,3,Mark Graham,Trike Motorsports,Medium,1:23.477,,Running
17,7,8,1,Aleksa Kozlov,LFL Engineering,Soft,1:23.826,,Running
17,8,12,4,Al Fabet,Villiuride Racing,Hard,1:24.722,,Running
17,9,10,1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.535,,Running
17,10,13,3,Franc Abel,Orange Wheel Racing,Medium,1:23.349,,Running
17,11,14,3,Niamh Murphy,Racing Life,Medium,1:24.734,,Running
17,12,15,3,Kanno Sora,LFL Engineering,Hard,1:25.649,,Running
17,13,19,6,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:24.033,,Running
17,14,16,2,Erwin Kramer,OHSN Racing,Hard,1:25.221,,Running
17,15,18,3,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.201,,Running
17,16,17,1,Liesje Roser,Dacia Racing Team,Medium,1:25.701,,Running
17,17,20,3,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.451,,Running
17,18,2,-16,Jamar Henry,Trike Motorsports,Medium,1:26.173,,Running
