Lap,Event
17,Eli Huertez overtook Berend Boer for P12
17,Damien Quibuyen overtook Kanno Sora for P6
17,Franc Abel overtook Fidan Basak for P1
18,Ye Li overtook Aida Haque for P14
18,Eli Huertez overtook Berend Boer for P11
18,Kanno Sora overtook Sydney Aspen for P5
18,Fidan Basak overtook Monica Niculescu for P2
19,Aleksa Kozlov pits: Medium -> Hard
19,Ye Li overtook Aida Haque for P14
19,Aida Haque overtook Jamar Henry for P13
19,Niamh Murphy overtook Mark Graham for P8
19,Mark Graham overtook Clara Longo for P7
19,Monica Niculescu overtook Fidan Basak for P2
20,Damien Quibuyen pits: Medium -> Soft
20,Ananda Chohan overtook Damien Quibuyen for P17
20,Aleksa Kozlov overtook Liesje Roser for P15
20,Ye Li overtook Aida Haque for P13
20,Berend Boer overtook Clara Longo for P8
20,Niamh Murphy overtook Mark Graham for P6
21,Ye Li overtook Aida Haque for P13
21,Jamar Henry overtook Al Fabet for P11
22,Monica Niculescu pits: Medium -> Hard
22,Kanno Sora pits: Medium -> Hard
22,Niamh Murphy pits: Medium -> Hard
22,Clara Longo pits: Medium -> Hard
22,Monica Niculescu overtook Kanno Sora for P13
22,Eli Huertez overtook Al Fabet for P8
23,Fidan Basak pits: Medium -> Hard
23,Monica Niculescu overtook Fidan Basak for P12
23,Fidan Basak overtook Aleksa Kozlov for P11
23,Jamar Henry overtook Ye Li for P5
24,Kanno Sora overtook Monica Niculescu for P13
24,Al Fabet overtook Aida Haque for P6
25,Kanno Sora overtook Aleksa Kozlov for P11
25,Liesje Roser overtook Eli Huertez for P7
26,Sydney Aspen pits: Medium -> Hard
26,Clara Longo overtook Niamh Murphy for P17
26,Kanno Sora overtook Aleksa Kozlov for P9
26,Eli Huertez overtook Al Fabet for P6
26,Al Fabet overtook Liesje Roser for P5
27,Clara Longo retired
27,Kanno Sora overtook Aida Haque for P8
27,Aida Haque overtook Al Fabet for P7
27,Liesje Roser overtook Eli Huertez for P5
28,Liesje Roser pits: Soft -> Medium
28,Aleksa Kozlov overtook Fidan Basak for P9
28,Fidan Basak overtook Kanno Sora for P8
28,Aida Haque overtook Eli Huertez for P6
28,Al Fabet overtook Jamar Henry for P4
29,Eli Huertez overtook Fidan Basak for P6
29,Jamar Henry overtook Al Fabet for P4
30,Berend Boer pits: Soft -> Medium
30,Jamar Henry overtook Al Fabet for P3
31,Aleksa Kozlov overtook Damien Quibuyen for P9
31,Eli Huertez overtook Aida Haque for P7
31,Aida Haque overtook Ye Li for P6
31,Al Fabet overtook Fidan Basak for P4
32,Franc Abel pits: Hard -> Medium
32,Fidan Basak overtook Jamar Henry for P2
33,Damien Quibuyen pits: Soft -> Medium
34,Franc Abel overtook Eli Huertez for P6
34,Ye Li overtook Al Fabet for P3
35,Al Fabet retired
35,Monica Niculescu retired
35,Jamar Henry overtook Aida Haque for P6
35,Fidan Basak overtook Mark Graham for P1
36,Liesje Roser overtook Ananda Chohan for P12
36,Sydney Aspen overtook Kanno Sora for P9
36,Jamar Henry overtook Franc Abel for P3
37,Berend Boer overtook Sydney Aspen for P10
38,Mark Graham pits: Medium -> Soft
38,Jamar Henry pits: Medium -> Soft
38,Eli Huertez pits: Medium -> Soft
38,Aida Haque pits: Medium -> Soft
38,Niamh Murphy overtook Eli Huertez for P12
38,Ananda Chohan overtook Mark Graham for P9
38,Mark Graham overtook Liesje Roser for P8
39,Aleksa Kozlov pits: Hard -> Medium
39,Damien Quibuyen overtook Aleksa Kozlov for P14
39,Jamar Henry overtook Liesje Roser for P8
39,Liesje Roser overtook Mark Graham for P7
40,Aleksa Kozlov overtook Damien Quibuyen for P14
40,Liesje Roser overtook Mark Graham for P8
40,Mark Graham overtook Jamar Henry for P7
41,Damien Quibuyen overtook Aleksa Kozlov for P14
42,Ananda Chohan pits: Hard -> Soft
43,Aida Haque overtook Eli Huertez for P10
43,Liesje Roser overtook Mark Graham for P8
44,Kanno Sora pits: Hard -> Soft
44,Mark Graham overtook Liesje Roser for P7
46,Mark Graham overtook Jamar Henry for P6
47,Aleksa Kozlov overtook Liesje Roser for P10
47,Liesje Roser overtook Aida Haque for P9
47,Franc Abel overtook Fidan Basak for P1
48,Damien Quibuyen overtook Kanno Sora for P12
48,Aida Haque overtook Aleksa Kozlov for P10
49,Aleksa Kozlov overtook Aida Haque for P9
49,Aida Haque overtook Eli Huertez for P8
50,Aleksa Kozlov overtook Aida Haque for P9
50,Ye Li overtook Mark Graham for P5
51,Ye Li overtook Eli Huertez for P7
52,Kanno Sora overtook Liesje Roser for P11
53,Sydney Aspen overtook Aida Haque for P7
