Lap,Event
60,Fidan Basak overtook Mark Graham for P12
61,Aida Haque overtook Marek Madeira for P14
61,Al Fabet overtook Mark Graham for P11
61,Mark Graham overtook Sydney Aspen for P10
61,Franc Abel overtook Niamh Murphy for P6
62,Al Fabet overtook Mark Graham for P11
62,Damien Quibuyen overtook Eli Huertez for P2
63,Mark Graham overtook Al Fabet for P11
63,Eli Huertez overtook Damien Quibuyen for P2
64,Al Fabet overtook Sydney Aspen for P10
64,Eli Huertez overtook Jamar Henry for P3
65,Fidan Basak overtook Aida Haque for P13
65,Sydney Aspen overtook Al Fabet for P10
65,Al Fabet overtook Liesje Roser for P9
65,Franc Abel overtook Niamh Murphy for P4
66,Al Fabet overtook Mark Graham for P10
66,Mark Graham overtook Sydney Aspen for P9
66,Eli Huertez overtook Berend Boer for P6
66,Niamh Murphy overtook Franc Abel for P4
66,Damien Quibuyen overtook Jamar Henry for P2
67,Mark Graham overtook Sydney Aspen for P9
68,Franc Abel retired
68,Marek Madeira retired
68,Eli Huertez overtook Mark Graham for P8
69,Mark Graham overtook Sydney Aspen for P7
70,Liesje Roser overtook Aida Haque for P10
70,Mark Graham overtook Sydney Aspen for P6
71,Damien Quibuyen retired
71,Berend Boer overtook Mark Graham for P5
72,Liesje Roser retired
72,Eli Huertez overtook Clara Longo for P11
72,Berend Boer overtook Sydney Aspen for P5
